time,ax,ay,az,yaw ,acc,velo,dist
9.804,0.2661,1.919085,8.4714,189.0806,1.03851120187823,63.583065354442,14254.0067078549
9.847,0.6181,-0.796005,8.6055,189.0117,0.671607961502582,64.0590194956912,14318.0657273506
9.89,0.3511,1.477875,8.7132,188.928,0.832861369202065,64.6962270446397,14382.7619543952
9.933,0.4361,1.00653,7.9243,188.8558,0.867595095361653,65.3681683197479,14448.130122715
9.976,0.5534,0.875805,8.7024,188.7957,0.869237076289322,66.0417515757838,14514.1718742908
10.019,0.259,-0.807345,10.5292,188.7657,0.533920661031458,66.3800184165618,14580.5518927073
10.062,0.2183,2.88435,9.5165,188.6979,1.00400652882517,67.1883711251335,14647.7402638325
10.105,0.1201,-1.54644,11.7921,188.6871,0.493917223060133,67.4866345279401,14715.2268983604
10.148,-0.3815,0.03738,13.9134,188.6711,0.402609778448106,67.6935904861348,14782.9204888465
10.191,-0.3276,2.235765,11.6796,188.6474,0.769240822758485,68.2671774886398,14851.1876663352
10.234,-0.3013,2.268525,8.2966,188.6245,1.06909765820679,69.1406213265931,14920.3282876618
10.277,0.4661,0.65709,8.2116,188.6216,0.986696126565431,69.9316636329051,14990.2599512947
10.32,-0.1074,-0.358575,10.4574,188.6308,0.717641901252344,70.453651713904,15060.7136030086
10.363,-0.33,1.802115,10.2036,188.6264,0.934536521001876,71.1925344146524,15131.9061374232
10.406,-0.1133,0.409395,8.6186,188.6272,0.829508216801501,71.8263888112004,15203.7325262344
10.449,0.3882,0.64701,8.2356,188.6222,0.793008573441201,72.4237435643881,15276.1562697988
10.492,0.3475,0.259875,10.1198,188.6103,0.686381858752961,72.9144716028876,15349.0707414017
10.535,0.4134,1.17621,10.1581,188.5829,0.784347487002369,73.5031652696365,15422.5739066713
10.578,0.138,2.063565,9.0544,188.5399,1.0401909896019,74.347702438985,15496.9216091103
10.621,0.5558,-0.708015,10.0288,188.5121,0.690549791681516,74.842598410413,15571.7642075207
10.664,0.2278,1.205085,10.2455,188.4663,0.793456833345213,75.4404014235048,15647.2046089442
10.707,0.1452,1.388625,9.4027,188.4146,0.91249046667617,76.1572380699275,15723.3618470142
10.75,0.0938,2.12772,8.8054,188.3538,1.15553637334094,77.1171206230149,15800.4789676372
10.793,0.0064,-2.858625,11.0128,188.3029,0.352704098672749,77.2741709014342,15877.7531385386
10.836,-0.2271,2.861775,9.9749,188.2406,0.854518278938199,77.9330353601189,15955.6861738987
10.879,-0.1756,0.82803,8.5707,188.1902,0.849220623150559,78.586602163016,16034.2727760617
10.922,-0.1313,1.34337,9.7535,188.1395,0.948050498520448,79.338998841283,16113.611774903
10.965,-1.0016,-1.655745,11.2965,188.0889,0.427291398816358,79.5706364198459,16193.1824113229
11.008,-0.6544,2.39295,11.1637,188.0372,0.820423119053087,80.1954057186455,16273.3778170415
11.051,-0.3384,4.3701,6.4662,187.9873,1.53035849524247,81.5301103936345,16354.9079274352
11.094,0.3332,-3.901905,10.5292,187.9359,0.443905796193975,81.778362369575,16436.6862898047
11.137,0.2422,1.00023,12.7103,187.8834,0.55517063695518,82.1378791862767,16518.824168991
11.18,-0.0116,2.73609,10.3425,187.8252,0.991354509564144,82.9335798755874,16601.7577488666
11.223,-0.008,1.6086,7.3162,187.7626,1.11480360765132,83.8527296629853,16685.6104785296
11.266,0.5917,-2.03028,9.5931,187.7023,0.485786886121052,84.1428627288528,16769.7533412584
11.309,-0.3971,1.84107,11.1325,187.6396,0.756843508896842,84.7040524174962,16854.4573936759
11.352,0.2111,1.25538,9.362,187.5738,0.856550807117474,85.3649494043602,16939.8223430803
11.395,0.4385,-0.611205,8.5791,187.514,0.562999645693979,85.7322952298007,17025.5546383101
11.438,0.5247,0.328965,9.0999,187.4565,0.516192716555183,86.0528341261024,17111.6074724362
11.481,0.5163,1.08066,9.6386,187.3958,0.629086173244147,86.4862664790931,17198.0937389153
11.524,0.8216,-0.700455,10.6597,187.3422,0.363177938595317,86.653790597435,17284.7475295127
11.567,0.7186,0.96873,10.3377,187.2828,0.484288350876254,86.9424251280577,17371.6899546408
11.61,0.6109,-1.565235,12.4278,187.24,0.074383680701003,86.8211549885053,17458.5111096293
11.653,0.8695,3.15462,9.5081,187.1561,0.690430944560802,87.3159321128126,17545.8270417421
11.696,0.7522,-1.42443,9.2327,187.1206,0.267458755648642,87.3877370482078,17633.2147787903
11.739,0.3559,2.003295,9.113,187.1044,0.614626004518914,87.8067092324732,17721.0214880228
11.782,0.9868,-1.01472,9.5248,187.0683,0.288756803615131,87.8998122158349,17808.9213002386
11.825,1.1963,1.892625,8.724,186.9914,0.609530442892105,88.3136888384735,17897.2349890771
11.868,0.9102,0.90972,8.0967,186.9367,0.669568354313684,88.7876033725337,17986.0225924496
11.911,1.0586,-1.115205,10.7207,186.9343,0.312613683450947,88.9045632357312,18074.9271556853
11.954,0.4756,-0.2919,13.0311,186.9201,0.191710946760758,88.9006203622385,18163.8277760476
11.997,0.9257,3.94653,7.8369,186.8929,0.942674757408606,89.6476412993937,18253.475417347
12.04,1.486,-1.09767,7.7986,186.9186,0.534605805926885,89.9865932850671,18343.462010632
12.083,1.1281,-0.82488,11.9909,186.938,0.262708644741508,90.0536481095551,18433.5156587416
12.126,0.1045,2.65314,12.3715,186.8912,0.740794915793207,90.5987892050949,18524.1144479467
12.169,0.6313,1.52943,9.5835,186.8701,0.898521932634565,91.3016573174759,18615.4161052642
12.212,1.4632,-0.12852,9.0508,186.9038,0.693113546107652,91.7991170433301,18707.2152223075
12.255,1.0299,0.614355,10.3772,186.9272,0.677361836886122,92.2808250599628,18799.4960473675
